id,sourceType,sourceUrl,author,date,rawText,normalizedText,productName,language,region
play-6fdbc6b4-bd17-4822-b55c-e0162baa4f5b,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=6fdbc6b4-bd17-4822-b55c-e0162baa4f5b,user_c7d76c,2026-06-15T17:09:41.599Z,"The app keeps glitching out. After about 2-3 days it will randomly get stuck on a song, and play ONLY that song on repeat. Want to enjoy your Playlist? No, one song. Want to look up a specific song and then have it play similar music? Nope, just that song. The only fix I have found is to uninstall and reinstall, sometimes more than once. Update: it now cannot go more than a day without getting stuck on a song. Why am I paying for what is effectively a CD with one track?","The app keeps glitching out. After about 2-3 days it will randomly get stuck on a song, and play ONLY that song on repeat. Want to enjoy your Playlist? No, one song. Want to look up a specific song and then have it play similar music? Nope, just that song. The only fix I have found is to uninstall and reinstall, sometimes more than once. Update: it now cannot go more than a day without getting stuck on a song. Why am I paying for what is effectively a CD with one track?",Spotify Android,en,US
play-be1470aa-e35a-429b-b322-a4c9fa1f55f3,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=be1470aa-e35a-429b-b322-a4c9fa1f55f3,user_4e986c,2026-06-15T17:04:09.640Z,"I used to really love this service, but the influx and subsequent promotion of ai slop is really disappointing. I miss the old algorithm that would drive me to new and indie artists, but now it's clearly driving me towards whatever is cheapest for them to license.","I used to really love this service, but the influx and subsequent promotion of ai slop is really disappointing. I miss the old algorithm that would drive me to new and indie artists, but now it's clearly driving me towards whatever is cheapest for them to license.",Spotify Android,en,US
play-86fd4a13-4df1-4a92-8769-2c6d2b6f25ca,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=86fd4a13-4df1-4a92-8769-2c6d2b6f25ca,user_fa399a,2026-06-15T17:00:11.413Z,"If I don't have Smart Shuffle on, that means I don't want it on. Don't randomly turn it on once a week thinking we're too stupid to notice. Y'all disgust me.","If I don't have Smart Shuffle on, that means I don't want it on. Don't randomly turn it on once a week thinking we're too stupid to notice. Y'all disgust me.",Spotify Android,en,US
play-fb3697d0-cf01-493f-b932-297784dbd291,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=fb3697d0-cf01-493f-b932-297784dbd291,user_c63ea5,2026-06-15T16:54:36.164Z,"I have been using this for a while but it REALLY bugs me how the free version keeps adding random songs I don't even want on my, sure it's helpful if I'm looking for songs to add but I'm definitely going to find a different music app, I would rather not have random songs on a playlist that specifically has songs I like, I noticed if you want to fix it, you have to get premium","I have been using this for a while but it REALLY bugs me how the free version keeps adding random songs I don't even want on my, sure it's helpful if I'm looking for songs to add but I'm definitely going to find a different music app, I would rather not have random songs on a playlist that specifically has songs I like, I noticed if you want to fix it, you have to get premium",Spotify Android,en,US
play-946f50e2-323a-4946-b786-df7d3ca0de95,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=946f50e2-323a-4946-b786-df7d3ca0de95,user_791803,2026-06-15T16:37:25.888Z,"new widget that is forced on ua for Android sucks, multiple times it forgets which songs im listening to (if I've had it paused for a few hours) and just reverts to displaying the playlist name, and if it click play next to the playlist name it just starts from the beginning again - why has this new widget been forced on us? also there are still times where I have no connection and its unable to play songs that I know I've downloaded","new widget that is forced on ua for Android sucks, multiple times it forgets which songs im listening to (if I've had it paused for a few hours) and just reverts to displaying the playlist name, and if it click play next to the playlist name it just starts from the beginning again - why has this new widget been forced on us? also there are still times where I have no connection and its unable to play songs that I know I've downloaded",Spotify Android,en,US
play-54364946-6a69-44a6-af1d-cfe170d677e1,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=54364946-6a69-44a6-af1d-cfe170d677e1,user_158a32,2026-06-15T16:29:35.541Z,I am unable to get songs in queue. Recommendation algorithm not matching my music preferences. Do fix it...I am a premium user,I am unable to get songs in queue. Recommendation algorithm not matching my music preferences. Do fix it...I am a premium user,Spotify Android,en,US
play-6239b8e0-a721-4147-9da0-796eb0848abd,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=6239b8e0-a721-4147-9da0-796eb0848abd,user_3010dc,2026-06-15T16:19:32.311Z,worst app...when u select songs n create playlists trusting them ..they will take all control just to sell their premium version.... uninstalling..,worst app...when u select songs n create playlists trusting them ..they will take all control just to sell their premium version.... uninstalling..,Spotify Android,en,US
play-d84645fd-bc72-4c16-9e91-f6f456f0607f,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=d84645fd-bc72-4c16-9e91-f6f456f0607f,user_1cc664,2026-06-15T16:07:11.660Z,"The UI changes are horrible and unjustifiable. This app, which I used to love, is now a pain to use Edit: Spotify is now pushing Ai music in their suggestions and generated playlists to save money. Reducing my review to 1-star until this is fixed","The UI changes are horrible and unjustifiable. This app, which I used to love, is now a pain to use Edit: Spotify is now pushing Ai music in their suggestions and generated playlists to save money. Reducing my review to 1-star until this is fixed",Spotify Android,en,US
play-96a74c41-2202-4f72-86dc-55eb877915cf,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=96a74c41-2202-4f72-86dc-55eb877915cf,user_9e6041,2026-06-15T16:04:20.830Z,EDIT: fresh install made it worse! login screen will not accept my existing login. had to use my email instead of Google and now all playlists (even ones I didn't not make) are listed as empty. latest edition of Spotify refuses to load properly. it cycles quickly through songs like the UI is bugged. cannot manually skip to resolve this issue. doesn't matter what playlist or if I have the app open or in the background. unusable garbage unless resolved!,EDIT: fresh install made it worse! login screen will not accept my existing login. had to use my email instead of Google and now all playlists (even ones I didn't not make) are listed as empty. latest edition of Spotify refuses to load properly. it cycles quickly through songs like the UI is bugged. cannot manually skip to resolve this issue. doesn't matter what playlist or if I have the app open or in the background. unusable garbage unless resolved!,Spotify Android,en,US
play-bbae5568-b91f-4649-80a6-ac1520512e52,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=bbae5568-b91f-4649-80a6-ac1520512e52,user_408fb7,2026-06-15T14:41:44.768Z,this app is very good must and be install I really love to hear songs in this app sometime ads are really disturbing but not anytime I love to make playlist and this app is really eligible for five stars,this app is very good must and be install I really love to hear songs in this app sometime ads are really disturbing but not anytime I love to make playlist and this app is really eligible for five stars,Spotify Android,en,US
play-2d35394e-6f32-4582-a522-82a0d50acf78,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=2d35394e-6f32-4582-a522-82a0d50acf78,user_037f91,2026-06-15T14:18:01.711Z,fix your smart shuffle what's the point if it being there when it shuffles the same songs from the same artists and different songs from the same artists fix your smart shuffle please I can't enjoy music because of it please fix I'm begging you,fix your smart shuffle what's the point if it being there when it shuffles the same songs from the same artists and different songs from the same artists fix your smart shuffle please I can't enjoy music because of it please fix I'm begging you,Spotify Android,en,US
play-5c734ea4-e77e-4340-a5fd-a96ca3152444,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=5c734ea4-e77e-4340-a5fd-a96ca3152444,user_8da52e,2026-06-15T14:17:06.579Z,"terrible, can't even play a playlist in order without a random song turning on, also the last 10 seconds of an ad being music is just so unnecessary, ads shouldn't be a thing in this app in general, it's just begging to buy premium. the app treats you horribly without premium.","terrible, can't even play a playlist in order without a random song turning on, also the last 10 seconds of an ad being music is just so unnecessary, ads shouldn't be a thing in this app in general, it's just begging to buy premium. the app treats you horribly without premium.",Spotify Android,en,US
play-23ee2f68-d53a-4b4f-9840-cf14d159ba56,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=23ee2f68-d53a-4b4f-9840-cf14d159ba56,user_b7bf01,2026-06-15T14:15:16.637Z,"Pixel 7, Android 15. It's fine, good recommendations and overall design language. Please make the top bar transparent for better full screen experience.","Pixel 7, Android 15. It's fine, good recommendations and overall design language. Please make the top bar transparent for better full screen experience.",Spotify Android,en,US
play-01e158b8-3ef8-4637-8813-dd3fc30e209f,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=01e158b8-3ef8-4637-8813-dd3fc30e209f,user_6954d7,2026-06-15T14:05:30.491Z,"The best music service out there. I didn't like the ads,the limited skip so i went with a year long subscription. After that,all things i hated disappeared. People want everything but don't want to pay. Well it's not how it works.☺️👍 Edit: Since like a month,Spotify is acting up on me. If i add a song to a Playlist,i have to double check to see if it's there. Sometimes,it's up to 3 times or more b4 validating. Also,how some songs i listened once became my top songs or favorites?","The best music service out there. I didn't like the ads,the limited skip so i went with a year long subscription. After that,all things i hated disappeared. People want everything but don't want to pay. Well it's not how it works.☺️👍 Edit: Since like a month,Spotify is acting up on me. If i add a song to a Playlist,i have to double check to see if it's there. Sometimes,it's up to 3 times or more b4 validating. Also,how some songs i listened once became my top songs or favorites?",Spotify Android,en,US
play-62f6120d-048e-42c7-bbc3-639b85bdc171,play_store,https://play.google.com/store/apps/details?id=com.spotify.music&reviewId=62f6120d-048e-42c7-bbc3-639b85bdc171,user_817bff,2026-06-15T13:30:42.418Z,"your new widget sucks, go back to the basic version so it stops trying to load recent songs or playlists","your new widget sucks, go back to the basic version so it stops trying to load recent songs or playlists",Spotify Android,en,US
